"Metabolite","Log2FC_ TvN_Early","p.val_ TvN_Early","p.adj_ TvN_Early","Log2FC_ TvN_Late","p.val_ TvN_Late","p.adj_ TvN_Late","Log2FC_S1-S4","SUPER PATHWAY","SUB PATHWAY"
"N-acetylisoleucine",0.230553418700569,0.151702358105575,0.200874846594969,0.491570311755829,0.00720607190210659,0.0108091078531599,0.26101689305526,"Amino acid","Valine, leucine and isoleucine metabolism"
"N-acetylleucine",0.517186134541365,0.129634725301291,0.176107551352697,1.4032181439689,5.96217345085633e-07,1.46761192636463e-06,0.88603200942753,"Amino acid","Valine, leucine and isoleucine metabolism"
"N-acetylmethionine",1.071025363723,6.70288152918487e-08,2.55686076874867e-07,1.42132278583072,1.37124449588731e-15,1.05311577284145e-14,0.350297422107716,"Amino acid","Cysteine, methionine, SAM, taurine metabolism"
"N-acetylneuraminate",1.48579552610769,3.29496671260016e-15,4.62902640599437e-14,1.21994627636312,1.76953105737408e-16,1.47717375224271e-15,-0.265849249744565,"Carbohydrate","Aminosugars metabolism"
"N-acetylornithine",0.175308374098208,0.735413241445506,0.80075241412592,0.138741530705751,0.452549236151575,0.504194119967712,-0.0365668433924568,"Amino acid","Urea cycle; arginine-, proline-, metabolism"
"N-acetylphenylalanine",-0.884422548742874,1.43315592581115e-05,4.02681860130352e-05,0.0767063331014596,0.0424409222730382,0.0573849089888968,0.961128881844333,"Amino acid","Phenylalanine & tyrosine metabolism"
"N-acetylserine",-1.10580125319217,1.03032765428687e-10,5.44466723733244e-10,-0.636467972064019,7.82927479816214e-08,2.11721233978469e-07,0.469333281128151,"Amino acid","Glycine, serine and threonine metabolism"
"N-acetylthreonine",0.409383502587111,0.0396120923723082,0.0635558919399709,0.329819052013487,0.0240232445226223,0.0337497288903182,-0.0795644505736238,"Amino acid","Glycine, serine and threonine metabolism"
"N-acetyltryptophan",-3.38032929845664,0.918840004378641,0.951891803097297,-3.38471948059208,0.795908470724127,0.832020470303262,-0.00439018213544529,"Amino acid","Tryptophan metabolism"
"N-acetyltyrosine",-0.305304816865165,0.00176772607513728,0.00361067453645062,0.374072972455578,0.308209579766104,0.355057435890552,0.679377789320743,"Amino acid","Phenylalanine & tyrosine metabolism"
"N-acetylvaline",-0.375393620780797,0.0208417863493483,0.0349996178927832,0.183266487619319,0.860968344678518,0.890337103294123,0.558660108400116,"Amino acid","Valine, leucine and isoleucine metabolism"
"N-methylglutamate",-2.41653396953189,1.69770114312273e-06,5.17394634094545e-06,-1.3207881199817,0.000119112697892296,0.000219197808261861,1.09574584955019,"Amino acid","Glutamate metabolism"
"N1-Methyl-2-pyridone-5-carboxamide",-0.522312113730586,1.8120734296718e-05,5.01804949755267e-05,-0.654141528684995,1.09770929301956e-08,3.49326272253739e-08,-0.131829414954409,"Cofactors and vitamins","Nicotinate and nicotinamide metabolism"
"N1-methyladenosine",-1.61698029736405,3.41217246580277e-15,4.6795508102438e-14,-1.81929937827083,1.86864665898283e-23,5.33973899302527e-22,-0.202319080906782,"Nucleotide","Purine metabolism, adenine containing"
"N1-methylguanosine",-2.60074847839039,3.07937868630595e-17,9.85401179617905e-16,-2.29119584723545,8.55465994815069e-24,2.73749118340822e-22,0.309552631154933,"Nucleotide","Purine metabolism, guanine containing"
"N2-acetyllysine",0.958754440445953,0.402604915789013,0.482121479198485,1.40460333653406,0.980319836100359,0.999405709015587,0.445848896088103,"Amino acid","Lysine metabolism"
"N2-methylguanosine",-2.42515416835645,3.06444932786136e-18,1.84251764252524e-16,-1.82172450403573,3.6329168739326e-20,5.3655387676543e-19,0.603429664320725,"Nucleotide","Purine metabolism, guanine containing"
"N2,N2-dimethylguanosine",-2.0670023006825,3.32876697557963e-17,1.00914198838624e-15,-2.34517237425771,2.6257980952855e-26,1.11075154180358e-23,-0.278170073575215,"Nucleotide","Purine metabolism, guanine containing"
"N6-acetyllysine",-2.30646713762798,2.35528140106263e-15,3.39160521753019e-14,-2.15542988453553,1.33885996208754e-22,2.85623458578674e-21,0.15103725309245,"Amino acid","Lysine metabolism"
"N6-carbamoylthreonyladenosine",-1.41613183173968,7.13019495182168e-18,3.15922484019176e-16,-1.21643930084817,2.75644551584091e-17,2.64618769520727e-16,0.199692530891508,"Nucleotide","Purine metabolism, guanine containing"
"naproxen",0,NA,NA,0,NA,NA,0,"Xenobiotics","Drug"
"nervonate (24:1n9)",2.12148715586447,2.40953756397193e-08,9.70554990802678e-08,1.85610394973657,3.379390113081e-11,1.39037764652475e-10,-0.265383206127899,"Lipid","Long chain fatty acid"
"nicotinamide",-0.310558006177924,0.003810687117245,0.00736562342125208,-0.143082166228974,0.190000120049082,0.228000144058898,0.16747583994895,"Cofactors and vitamins","Nicotinate and nicotinamide metabolism"
"nicotinamide adenine dinucleotide (NAD+)",-1.58711180091825,1.41600391890068e-09,6.6853955515311e-09,-0.472049029148474,9.61177653704084e-06,2.04294586174743e-05,1.11506277176978,"Cofactors and vitamins","Nicotinate and nicotinamide metabolism"
"nicotinamide adenine dinucleotide reduced (NADH)",0.285699846814794,0.561827804649476,0.640817456392274,0.544299632477606,0.959682112663711,0.98184173515861,0.258599785662811,"Cofactors and vitamins","Nicotinate and nicotinamide metabolism"
"nicotinamide ribonucleotide (NMN)",-1.28169963776354,3.15590040542173e-05,8.45487736522288e-05,-0.534573833126822,0.00258161712109722,0.00406287284631694,0.747125804636716,"Cofactors and vitamins","Nicotinate and nicotinamide metabolism"
"nicotinamide riboside*",-0.216775246556174,0.0472523988598443,0.074161803115178,0.759526465288654,0.107774924818699,0.136136747139409,0.976301711844828,"Cofactors and vitamins","Nicotinate and nicotinamide metabolism"
"nicotinate",0.0384099810931431,0.83384341917074,0.887788926880492,0.196261020032421,0.0346894037008616,0.0473485699803229,0.157851038939278,"Cofactors and vitamins","Nicotinate and nicotinamide metabolism"
"nicotinate adenine dinucleotide (NAAD+)",0,NA,NA,0,NA,NA,0,"Cofactors and vitamins","Nicotinate and nicotinamide metabolism"
"octanoylcarnitine",1.1147260576668,7.83461644525203e-08,2.91144456288075e-07,1.11202971785608,1.87485149812938e-07,4.7783825793032e-07,-0.00269633981071893,"Lipid","Carnitine metabolism"
"oleate (18:1n9)",0.536291758317416,0.02169832341185,0.0363320764105395,0.662292421612613,6.7731578397066e-06,1.50051496756577e-05,0.126000663295197,"Lipid","Long chain fatty acid"
"oleoylcarnitine",0.801653215836525,7.65472970225662e-07,2.44951350472212e-06,0.934714680334226,6.53187455388125e-08,1.78310888295526e-07,0.133061464497701,"Lipid","Carnitine metabolism"
