,cluster,motif,p-value,q-value,odds-ratio,count-genes-in-cluster,count-genes-bg,remainder-cluster,remainder-bg,tf-log2FC,tf-padj,tf-cluster,%-coverage,genes
208,TMDS,TFAP2A,0.5808078002580274,0.6095865651356773,1.189526184538653,1,17,802,16201,-0.353207999520557,2.01258754214196e-21,TPDS_TMDE,0.12453300124533,CDH1
209,MDE_TMDS,TFAP2A,0.0521169978333473,0.10700369985816556,5.9706303724928365,2,16,349,16654,-0.353207999520557,2.01258754214196e-21,TPDS_TMDE,0.5698005698005698,"ACHE,BCL2"
210,TPDS,TFAP2A,1.3103623307796842e-05,8.480956196435178e-05,15.461538461538462,6,12,533,16470,-0.353207999520557,2.01258754214196e-21,TPDS_TMDE,1.1131725417439702,"L1CAM,PRKCA,CRABP2,OAT,GALNT3,SMPD1"
211,TMDE,TFAP2A,0.2838859578775307,0.34095581538899306,3.150075414781297,1,17,312,16691,-0.353207999520557,2.01258754214196e-21,TPDS_TMDE,0.3194888178913738,CFTR
212,MDE,TFAP2C,0.0243816462017507,0.05680923565007913,inf,1,0,414,16606,0.251758447800552,0.0003181785416384,TPDS_TMDE,0.2409638554216867,CSTA
213,TPDE,TP53,9.825974565855825e-07,1.0902152732592415e-05,8.483805668016194,10,80,247,16684,0.238690104279036,3.97644505267406e-08,None,3.891050583657588,"DDB2,TRIM22,GPNMB,MKI67,FBLN2,CDKN1A,TGFB1,ALOX5,FLT1,SERPINE1"
214,TMDS,TP53,0.4466835201762688,0.48408028000497966,0.4601634320735444,2,88,801,16130,0.238690104279036,3.97644505267406e-08,None,0.24906600249066,"TRIAP1,SLC6A6"
215,MDE_TMDS,TP53,0.435321971346806,0.47397205291498035,1.6518034086405071,3,87,348,16583,0.238690104279036,3.97644505267406e-08,None,0.8547008547008548,"STEAP3,BNIP3L,BBC3"
216,MDE,TP53,3.343578213168273e-08,5.992720951293904e-07,7.628428927680798,14,76,401,16530,0.238690104279036,3.97644505267406e-08,None,3.3734939759036147,"CDH13,VCAN,PYCARD,FAS,IGFBP3,CASP1,CAV1,STAT1,TNFRSF10B,NDRG1,IFI16,SH2D1A,ADA,EGFR"
217,TPDE_TMDS,TP53,0.0002818369379116,0.0012362329236402147,5.222326454033771,8,82,312,16619,0.238690104279036,3.97644505267406e-08,None,2.5,"BAX,BTG1,CCNA2,DUSP1,APCS,LIG1,FDXR,NLRC4"
218,TMDE,TP53,0.0830645638937205,0.15003134408710755,2.5149394144652666,4,86,309,16622,0.238690104279036,3.97644505267406e-08,None,1.2779552715654952,"APAF1,SFN,PML,BID"
219,TPDE,USF1,0.0502885705083469,0.10461818686111453,5.976470588235294,2,22,255,16742,0.145178167325904,1.26843891787937e-12,None,0.7782101167315175,"SERPINE1,TGFB1"
220,TMDS,USF1,0.6271151614594235,0.6434567202548461,0.0,0,24,803,16194,0.145178167325904,1.26843891787937e-12,None,0.0,
221,MDE_TMDS,USF1,0.01272280174547,0.03529062865112512,6.843185550082102,3,21,348,16649,0.145178167325904,1.26843891787937e-12,None,0.8547008547008548,"SLC1A3,PF4,ABCA1"
222,MDE,USF1,1.169561055853811e-06,1.110894085165891e-05,16.759227220299884,7,17,408,16589,0.145178167325904,1.26843891787937e-12,None,1.686746987951807,"CD2,PTPN6,B2M,ISG20,CXCR4,HMOX1,P4HA1"
223,TPDE_TMDS,USF1,0.0099111339679704,0.029231572335912698,7.526363226678684,3,21,317,16680,0.145178167325904,1.26843891787937e-12,None,0.9375,"BRCA2,CEBPA,CCNB1"
224,TMDE,USF1,0.3592667230149147,0.41604272753752464,2.3283166109253064,1,23,312,16685,0.145178167325904,1.26843891787937e-12,None,0.3194888178913738,TGFB2
225,TPDE,USF2,0.2039694139242433,0.27002769002470844,4.677455357142857,1,14,256,16750,0.110473909864559,6.5136020183004505e-09,None,0.3891050583657587,TGFB1
226,MDE_TMDS,USF2,0.0032837715452137,0.010776320704715382,11.975574712643676,3,12,348,16658,0.110473909864559,6.5136020183004505e-09,None,0.8547008547008548,"PF4,ABCA1,BRCA1"
227,MDE,USF2,8.391090868973406e-07,9.775620862354018e-06,27.06764466177669,6,9,409,16597,0.110473909864559,6.5136020183004505e-09,None,1.4457831325301205,"CD2,PTPN6,B2M,CXCR4,HMOX1,P4HA1"
228,TPDE_TMDS,USF2,0.247663091422821,0.3136168494647679,3.739587998208688,1,14,319,16687,0.110473909864559,6.5136020183004505e-09,None,0.3125,BRCA2
229,TMDE,USF2,0.2429212028844493,0.3092931162408562,3.8250915750915753,1,14,312,16694,0.110473909864559,6.5136020183004505e-09,None,0.3194888178913738,TGFB2
230,TMDS,VDR,0.0398356037270008,0.0851531712696439,8.098876404494382,2,5,801,16213,-0.138493068440609,0.0173563222689463,TPDS_TMDE,0.24906600249066,"CDH1,PODXL"
231,TPDS,VDR,0.0189010931717229,0.04685058201075996,12.277094972067038,2,5,537,16477,-0.138493068440609,0.0173563222689463,TPDS_TMDE,0.3710575139146568,"CALB1,CYP24A1"
232,MDE,VDR,0.0114763876255983,0.032216847189932576,16.08329297820823,2,5,413,16601,-0.138493068440609,0.0173563222689463,TPDS_TMDE,0.4819277108433735,"IGFBP3,EGFR"
