epoch,loss,val_loss
0,0.6340810656547546,0.544023334980011
1,0.5113021731376648,0.5060129761695862
2,0.49695175886154175,0.4991377592086792
3,0.49301251769065857,0.49759504199028015
4,0.49164754152297974,0.4966425895690918
5,0.4900882840156555,0.4957808256149292
6,0.4899059236049652,0.4949328899383545
7,0.4889962375164032,0.49443161487579346
8,0.48882347345352173,0.49423226714134216
9,0.4885387420654297,0.4941355288028717
10,0.48857223987579346,0.49415385723114014
11,0.48849359154701233,0.4934227168560028
12,0.48807549476623535,0.4929734170436859
13,0.48860254883766174,0.4925844371318817
14,0.48800650238990784,0.49340906739234924
15,0.4872331917285919,0.49308258295059204
16,0.4877265393733978,0.49262556433677673
17,0.48751452565193176,0.4934592843055725
18,0.48745524883270264,0.4926280379295349
