"Pathway","Comparison","Regulation_Grouping_2","fGSEA NES","fGSEA padj","fGSEA pval","fGSEA size","gene","Genes_in_Pathway","Percentage_of_Pathway_detected","In Threshold?"
"Alanine and Aspartate Metabolism","PBRM1-BAP1","TMDE",0.756078880086256,0.962773291313768,0.871577703368131,1,"SLC38A1",32,3.12,"NO"
"Alanine and Aspartate Metabolism","PBRM1-BAP1","TMDE",0.756078880086256,0.962773291313768,0.871577703368131,1,"ASRGL1",32,3.12,"NO"
"Alanine and Aspartate Metabolism","PBRM1-BAP1","TMDE",0.756078880086256,0.962773291313768,0.871577703368131,1,"ASNS",32,3.12,"NO"
"Alanine and Aspartate Metabolism","PBRM1-BAP1","TMDE",0.756078880086256,0.962773291313768,0.871577703368131,1,"SLC25A12",32,3.12,"NO"
"Alanine and Aspartate Metabolism","PBRM1-BAP1","TMDE",0.756078880086256,0.962773291313768,0.871577703368131,1,"AGXT2",32,3.12,"NO"
"Alanine and Aspartate Metabolism","PBRM1-BAP1","TMDE",0.756078880086256,0.962773291313768,0.871577703368131,1,"GOT1",32,3.12,"NO"
"Alanine and Aspartate Metabolism","PBRM1-BAP1","TMDE",0.756078880086256,0.962773291313768,0.871577703368131,1,"GPT2",32,3.12,"NO"
"Alanine and Aspartate Metabolism","PBRM1-BAP1","TMDE",0.756078880086256,0.962773291313768,0.871577703368131,1,"GPT",32,3.12,"NO"
"Alanine and Aspartate Metabolism","PBRM1-BAP1","TMDE",0.756078880086256,0.962773291313768,0.871577703368131,1,"SLC25A13",32,3.12,"NO"
"Alanine and Aspartate Metabolism","PBRM1-BAP1","TMDE",0.756078880086256,0.962773291313768,0.871577703368131,1,"SLC1A2",32,3.12,"NO"
"Alanine and Aspartate Metabolism","PBRM1-BAP1","TMDE",0.756078880086256,0.962773291313768,0.871577703368131,1,"ASPA",32,3.12,"NO"
"Alanine and Aspartate Metabolism","PBRM1-BAP1","TMDE",0.756078880086256,0.962773291313768,0.871577703368131,1,"SLC38A5",32,3.12,"NO"
"Alanine and Aspartate Metabolism","PBRM1-BAP1","TMDE",0.756078880086256,0.962773291313768,0.871577703368131,1,"GOT2",32,3.12,"NO"
"Alanine and Aspartate Metabolism","PBRM1-BAP1","TMDE",0.756078880086256,0.962773291313768,0.871577703368131,1,"ACY3",32,3.12,"NO"
"Alanine and Aspartate Metabolism","PBRM1-BAP1","TMDE",0.756078880086256,0.962773291313768,0.871577703368131,1,"SLC7A2",32,3.12,"NO"
"Alanine and Aspartate Metabolism","PBRM1-BAP1","TMDE",0.756078880086256,0.962773291313768,0.871577703368131,1,"DDO",32,3.12,"NO"
"Alanine and Aspartate Metabolism","PBRM1-BAP1","TMDE",0.756078880086256,0.962773291313768,0.871577703368131,1,"AGXT2L1",32,3.12,"NO"
"Alanine and Aspartate Metabolism","PBRM1-BAP1","TMDE",0.756078880086256,0.962773291313768,0.871577703368131,1,"SLC1A6",32,3.12,"NO"
"Alanine and Aspartate Metabolism","PBRM1-BAP1","TMDE",0.756078880086256,0.962773291313768,0.871577703368131,1,"SLC1A4",32,3.12,"NO"
"Alanine and Aspartate Metabolism","PBRM1-BAP1","TMDE",0.756078880086256,0.962773291313768,0.871577703368131,1,"SLC36A1",32,3.12,"NO"
"Alanine and Aspartate Metabolism","PBRM1-BAP1","TMDE",0.756078880086256,0.962773291313768,0.871577703368131,1,"AGXT",32,3.12,"NO"
"Alanine and Aspartate Metabolism","PBRM1-BAP1","TMDE",0.756078880086256,0.962773291313768,0.871577703368131,1,"SLC1A1",32,3.12,"NO"
"Alanine and Aspartate Metabolism","PBRM1-BAP1","TMDE",0.756078880086256,0.962773291313768,0.871577703368131,1,"SLC7A10",32,3.12,"NO"
"Alanine and Aspartate Metabolism","PBRM1-BAP1","TMDE",0.756078880086256,0.962773291313768,0.871577703368131,1,"SLC6A14",32,3.12,"NO"
"Alanine and Aspartate Metabolism","PBRM1-BAP1","TPDS&TMDE",0.88309608388072,0.99044015136427,0.678550089623581,1,"SLC38A2",32,3.12,"NO"
"Alanine and Aspartate Metabolism","PBRM1-BAP1","TPDS&TMDE",0.88309608388072,0.99044015136427,0.678550089623581,1,"SLC1A3",32,3.12,"NO"
