ensembl_gene_id,logFC_rna,padj_rna,logFC_meth,padj_meth,CpG_Beta_diff,external_gene_name,entrezgene_id,hgnc_symbol,logFC_protein,padj_protein,Regulation_Grouping_1,Regulation_Grouping_2,Regulation_Grouping_3
ENSG00000144395,0.418508120743688,0.0005645998151628,-1.93288785966338,2.6430243717923e-109,-0.1287887950786317,CCDC150,284992.0,CCDC150,0.25694492586013,5.19936308564866e-05,None,None,None
ENSG00000144401,0.151668618528798,0.0002881859755175,-3.29193669573864,9.590885511795012e-154,-0.1394118125310308,METTL21A,151194.0,METTL21A,0.0938918692545314,0.0022545000117598,None,None,None
ENSG00000144410,-1.00289918530558,7.24069366269323e-22,-1.16962008646182,3.34433815518346e-52,-0.0677373165465211,CPO,130749.0,CPO,0.0,1.0,TPDS_TMDE_M--_R-neg_P--,TPDS_TMDE,TMDE
ENSG00000144426,-0.382660559681788,1.72664750940603e-21,-1.3435377148212,2.89092732420411e-42,-0.2041141759775827,NBEAL1,65065.0,NBEAL1,-0.0991474457629162,3.60346896101442e-06,None,None,None
ENSG00000144452,3.23528301812608,1.5548047231749302e-85,-0.841595284482654,1.41967922116608e-22,-0.1102112997506012,ABCA12,26154.0,ABCA12,0.145974694902906,0.0047691177468559,MDE_TMDS_M-neg_R-pos_P--,MDE_TMDS,TMDS
ENSG00000144455,-0.458329984599165,9.33440893310832e-21,-0.991589342205598,1.30447056845191e-37,-0.1493772526010243,SUMF1,285362.0,SUMF1,-0.174656557593193,1.5685091318688e-11,None,None,None
ENSG00000144460,-1.08724050614154,1.03094607503784e-05,-2.00322915447996,6.513863048021e-78,-0.2536945447879869,NYAP2,57624.0,NYAP2,0.0,1.0,TPDS_TMDE_M-neg_R-neg_P--,TPDS_TMDE,TMDE
ENSG00000144468,0.0050099597796041,0.907292011371379,0.763936418213277,4.39143714960363e-13,0.1044007542875771,RHBDD1,84236.0,RHBDD1,0.168257303128371,2.7583095934668e-07,None,None,None
ENSG00000144476,2.24327680110605,1.00413847661489e-95,-1.93173950290121,6.92279144513057e-92,-0.089543548300337,ACKR3,57007.0,ACKR3,0.0,1.0,TPDE_TMDS_M--_R-pos_P--,TPDE_TMDS,TMDS
ENSG00000144481,2.91714546429663,1.6461323783787901e-24,-3.41794286911191,1.19139921250497e-99,-0.4791816743285291,TRPM8,79054.0,TRPM8,0.0,1.0,MDE_TMDS_M-neg_R-pos_P--,MDE_TMDS,TMDS
ENSG00000144488,0.646389921850654,0.0020787662453667,-1.64510143775919,1.75969429070212e-49,-0.2624103963773523,ESPNL,339768.0,ESPNL,0.0,1.0,None,None,None
ENSG00000144524,-0.305937854920081,7.04237440575664e-12,-0.358890961470535,2.51850438556494e-13,-0.0170087088014972,COPS7B,64708.0,COPS7B,0.381721086227261,1.35523053191365e-46,None,None,None
ENSG00000144535,-0.362312602816276,8.33142392132929e-24,-0.833191150412852,6.55822933216768e-32,-0.1299810211265502,DIS3L2,129563.0,DIS3L2,-0.0736104518699041,8.83387475456309e-08,None,None,None
ENSG00000144554,0.898848459773231,3.79951923872882e-33,-0.761437962591524,1.2969775179174698e-11,-0.0622060769205329,FANCD2,2177.0,FANCD2,0.374797212890799,6.67122857970735e-16,None,None,None
ENSG00000144559,-0.565636711760664,3.86928241674208e-40,-1.54261124942855,1.44330954531987e-70,-0.1131920563697378,TAMM41,132001.0,TAMM41,0.0,1.0,None,None,None
ENSG00000144566,-0.179481510477589,4.21053187129412e-07,-0.640036377454042,5.08877889194363e-08,-0.0742857164757807,RAB5A,5868.0,RAB5A,-0.256056346637901,3.50165592332191e-38,None,None,None
ENSG00000144567,0.126778332695814,0.0116824943229293,-0.456158191719671,6.637942750462431e-15,-0.0780436400932255,RETREG2,79137.0,RETREG2,0.0266586911183011,0.371013232124293,None,None,None
ENSG00000144579,0.20875761633127,1.61156800055773e-06,0.554780766423991,1.05435960372107e-10,0.0635374843504348,CTDSP1,58190.0,CTDSP1,0.0259265681420142,0.371437692751343,None,None,None
ENSG00000144580,0.42268487674806,1.09413102018685e-31,-2.00796554457026,1.6744849380187102e-73,-0.3184432857218106,CNOT9,9125.0,CNOT9,0.187535730169631,1.35974657352971e-27,None,None,None
ENSG00000144591,0.567682742510243,2.3850464107506702e-24,-0.782706817376743,9.33578626252953e-30,-0.0420077261287864,GMPPA,29926.0,GMPPA,0.0169106210750275,0.519898332290623,None,None,None
ENSG00000144596,-1.37128238258503,1.07700621047316e-24,0.698679726862218,4.11574020318786e-09,0.1086761548644328,GRIP2,80852.0,GRIP2,0.0,1.0,MDS_TMDE_M-pos_R-neg_P--,MDS_TMDE,TMDE
ENSG00000144597,-0.16515351495157,0.0034109840380337,-0.432142716569654,3.30570720178079e-34,-0.0170570231581274,EAF1,85403.0,EAF1,0.198550545175886,3.46099130522796e-06,None,None,None
ENSG00000144619,-1.27044950862046,1.87146308496376e-24,1.52826856865051,4.02889052501228e-42,0.2345857044819801,CNTN4,152330.0,CNTN4,-0.0367287426277157,0.450217408125805,MDS_TMDE_M-pos_R-neg_P--,MDS_TMDE,TMDE
ENSG00000144635,-0.281760612194932,3.6666110807743595e-18,0.7719853338244,2.16148037212016e-53,0.0520887477056573,DYNC1LI1,51143.0,DYNC1LI1,-0.370566127430518,1.15054660451761e-64,None,None,None
