"Metabolite","Log2FC_ TvN_Young","p.val_ TvN_Young","p.adj_ TvN_Young","Log2FC_ TvN_Old","p.val_ TvN_Old","p.adj_ TvN_Old","Log2FC_Young-Old","SUPER PATHWAY","SUB PATHWAY"
"3-(4-hydroxyphenyl)lactate",0.599279184572254,0.0513398264234592,0.153221450880376,0.698219510546142,5.08675973311635e-07,1.24151423994704e-06,0.0989403259738879,"Amino acid","Phenylalanine & tyrosine metabolism"
"3-(cystein-S-yl)acetaminophen*",0,NA,NA,-0.244873459668025,0.00720479056153884,0.0108071858423083,-0.244873459668025,"Xenobiotics","Drug"
"3-(N-acetyl-L-cystein-S-yl) acetaminophen*",0,NA,NA,-0.629454780688263,0.00395565725566674,0.00622529666465586,-0.629454780688263,"Xenobiotics","Drug"
"3-aminoisobutyrate",2.24444622558091,0.278632478632479,0.49842331581462,1.95552881390147,1.22509870188673e-11,4.58218735251139e-11,-0.288917411679439,"Nucleotide","Pyrimidine metabolism, thymine containing; Valine, leucine and isoleucine metabolism/"
"3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)",1.2707661520145,0.311201852084326,0.546500813416378,0.372503716225604,0.437457045598194,0.497974818704663,-0.898262435788895,"Lipid","Fatty acid, dicarboxylate"
"3-dehydrocarnitine*",-0.654742929263755,0.0379176379176379,0.124231000389744,0.0242832743526417,0.166586022831402,0.205467985333806,0.679026203616397,"Lipid","Carnitine metabolism"
"3-hydroxybutyrate (BHBA)",-0.0351129414286047,0.959129759129759,1,-0.0796424453338711,0.628548807166058,0.680534046856484,-0.0445295039052663,"Lipid","Ketone bodies"
"3-hydroxydecanoate",-0.019770867191753,0.621768741264933,0.84867013025735,-0.492438462605566,0.0078950451290808,0.0117507648432831,-0.472667595413813,"Lipid","Fatty acid, monohydroxy"
"3-hydroxyhippurate",-0.887894157444655,0.091125993228696,0.2282111830423,-3.52771629524629,9.00270766970302e-18,6.82310476019597e-17,-2.63982213780163,"Xenobiotics","Benzoate metabolism"
"3-hydroxyoctanoate",0.119178036692045,0.872959425288042,1,-0.423144449218287,0.0016148128046683,0.00264242095309358,-0.542322485910333,"Lipid","Fatty acid, monohydroxy"
"3-indoxyl sulfate",-0.0383543172036577,0.91412834520142,1,-0.979461381303277,0.00338237857751774,0.00536708005688765,-0.941107064099619,"Amino acid","Tryptophan metabolism"
"3-methyl-2-oxovalerate",-0.071633356211842,0.869378181297722,1,-0.242112410406146,0.666824193193529,0.713923299775972,-0.170479054194304,"Amino acid","Valine, leucine and isoleucine metabolism"
"3-methylhistidine",-0.62371041493205,0.621768741264933,0.84867013025735,-0.771821194136458,1.26083939792457e-09,4.03468607335862e-09,-0.148110779204408,"Amino acid","Histidine metabolism"
"3-phosphoglycerate",-0.720875454055808,0.328205128205128,0.556018099547511,-0.633038696824099,0.0145850065122908,0.0210024093776987,0.0878367572317096,"Carbohydrate","Glycolysis, gluconeogenesis, pyruvate metabolism"
"3-ureidopropionate",0.118001612046931,0.685443482677522,0.905540013812506,0.319077591998278,0.380231264178035,0.439785558567366,0.201075979951347,"Amino acid","Alanine and aspartate metabolism"
"3,4-dihydroxyphenethyleneglycol",-1.3070630084347,0.0184860023601499,0.0734340507548025,-1.89341595460068,1.58315250351156e-17,1.1542985342059e-16,-0.586352946165972,"Amino acid","Phenylalanine & tyrosine metabolism"
"4-acetamidophenol",0,NA,NA,-0.538825505066255,0.132576778170977,0.166370858881226,-0.538825505066255,"Xenobiotics","Drug"
"4-acetaminophen sulfate",0,NA,NA,-0.83618816546096,0.161528487526945,0.200086900678538,-0.83618816546096,"Xenobiotics","Drug"
"4-androsten-3beta,17beta-diol disulfate 1*",0.968609899084365,0.127527313357845,0.285548671860459,-0.474266244925232,0.154750603166881,0.192519108907394,-1.4428761440096,"Lipid","Sterol/Steroid"
"4-guanidinobutanoate",0.0279834754703062,0.798445998445998,0.97852105341467,0.260976266985996,0.241257875735694,0.290113854746889,0.232992791515689,"Amino acid","Guanidino and acetamido metabolism"
"4-hydroxybutyrate (GHB)",-0.852106315435859,0.0649572649572649,0.179002227229746,1.66000144500107,0.00675235724377946,0.0103165988658275,2.51210776043693,"Lipid","Fatty acid, monohydroxy"
"4-hydroxyglutamate",1.4733627277346,0.524449721806084,0.76091445783452,2.35924195777861,1.12360356704483e-08,3.18815593407795e-08,0.885879230044007,"Amino acid","Glutamate metabolism"
"4-hydroxyhippurate",-1.76055228268343,0.0152562869477253,0.0632202969920126,-3.55210604512631,1.01880210801589e-23,1.95610004739051e-22,-1.79155376244288,"Xenobiotics","Benzoate metabolism"
"4-hydroxyphenylacetate",-1.32176173026857,0.00472939731665766,0.028980136748881,-1.74740410167193,1.01548464712847e-19,9.91388401264408e-19,-0.425642371403363,"Amino acid","Phenylalanine & tyrosine metabolism"
"4-methyl-2-oxopentanoate",0.221492190426619,0.621768741264933,0.84867013025735,-0.0702248251532308,0.499366365826541,0.558514614982694,-0.291717015579849,"Amino acid","Valine, leucine and isoleucine metabolism"
"5-aminovalerate",0.415849677555035,0.359363517069886,0.599980828499289,0.860634861049022,4.39087706394007e-09,1.33817205758174e-08,0.444785183493987,"Amino acid","Urea cycle; arginine-, proline-, metabolism"
"5-HETE",-2.45221111216644,0.00268264215932278,0.0246478159521638,-2.25366619567898,1.9510601487128e-15,1.0502903230454e-14,0.198544916487454,"Lipid","Eicosanoid"
"5-methyltetrahydrofolate (5MeTHF)",-1.93405548165847,0.00504026972290318,0.0296888263793824,-2.21180790100426,1.5373400835767e-21,2.01251792759132e-20,-0.277752419345793,"Cofactors and vitamins","Folate metabolism"
"5-methylthioadenosine (MTA)",-0.694260524903815,0.0379176379176379,0.124231000389744,0.647806829331118,0.115116236220503,0.146050555204867,1.34206735423493,"Amino acid","Polyamine metabolism"
"5-methyluridine (ribothymidine)",-0.235512993752238,0.381573905705021,0.603276175878915,-0.360942635276246,0.000140500839268372,0.000261059623930911,-0.125429641524008,"Nucleotide","Pyrimidine metabolism, uracil containing"
"5-oxoETE",-2.4776578630383,0.00274173312722051,0.0246478159521638,-2.05429344632582,1.63472411278831e-17,1.17700136120758e-16,0.423364416712482,"Lipid","Eicosanoid"
"5-oxoproline",-0.0682349003761714,0.959129759129759,1,-0.254871570162872,0.000129578624448387,0.000242328856111269,-0.1866366697867,"Amino acid","Glutathione metabolism"
"5,6-dihydrouracil",1.16861814119133,0.0652856489280541,0.179002227229746,1.15486554600442,6.85145447366209e-09,2.00326790701998e-08,-0.0137525951869075,"Nucleotide","Pyrimidine metabolism, uracil containing"
"6'-sialyllactose",-0.747826410151407,0.194871794871795,0.375405196809879,1.31333364054454,0.0128281788824478,0.0185654046137938,2.06116005069595,"Carbohydrate","Fructose, mannose, galactose, starch, and sucrose metabolism"
"6-keto prostaglandin F1alpha",0.654597425248923,0.488142933739699,0.736028267501501,-0.781956747580185,5.01693879332567e-05,9.69717028508586e-05,-1.43655417282911,"Lipid","Eicosanoid"
"6-phosphogluconate",0.275330539012298,0.278632478632479,0.49842331581462,1.78480036153866,3.55335219998467e-11,1.27126140819327e-10,1.50946982252637,"Carbohydrate","Nucleotide sugars, pentose metabolism"
"7-alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca)",2.24812492893068,0.0131325729425317,0.0581874001146018,1.76386279434448,4.38892539929562e-13,1.88658285820468e-12,-0.484262134586207,"Lipid","Sterol/Steroid"
"7-alpha-hydroxycholesterol",-1.15974711369586,0.170903520230797,0.35032180659409,1.08727621791747,0.219730855065643,0.266452573721706,2.24702333161333,"Lipid","Sterol/Steroid"
"7-beta-hydroxycholesterol",-1.95488741553315,0.00998472274939182,0.0479776223776224,0.787356956178449,0.0083298471806156,0.0123025435282938,2.7422443717116,"Lipid","Sterol/Steroid"
"Ac-Ser-Asp-Lys-Pro-OH",0.321892242796627,0.798445998445998,0.97852105341467,0.407652478633044,0.000673804075622743,0.00114825783301391,0.0857602358364176,"Peptide","Polypeptide"
"acetylcarnitine",0.868634767135398,0.0379176379176379,0.124231000389744,1.51318217762914,1.64280762436072e-19,1.55124129775701e-18,0.64454741049374,"Lipid","Carnitine metabolism"
"adenine",-2.05402043424226,0.00466200466200466,0.0288743514549966,0.590250102255151,0.892906542003068,0.923364754387373,2.64427053649741,"Nucleotide","Purine metabolism, adenine containing"
"adenosine",-1.34711447021304,0.00186480186480186,0.0231407936014043,-0.673602330131528,2.49926544627533e-05,5.01594737649682e-05,0.673512140081508,"Nucleotide","Purine metabolism, adenine containing"
"adenosine 2'-monophosphate (2'-AMP)",-1.34615700203014,0.00295260295260295,0.0246478159521638,-0.921765554329147,6.69419573756527e-13,2.81449397433401e-12,0.424391447700993,"Nucleotide","Purine metabolism, adenine containing"
"adenosine 3'-monophosphate (3'-AMP)",-1.06642684277103,0.00699300699300699,0.0374483944169425,-1.06905470911345,1.20392022988554e-13,5.41764103448492e-13,-0.00262786634242107,"Nucleotide","Purine metabolism, adenine containing"
"adenosine 5'-monophosphate (AMP)",0.589708171435034,0.194871794871795,0.375405196809879,0.899034436099424,2.92330709420189e-05,5.80629271124238e-05,0.30932626466439,"Nucleotide","Purine metabolism, adenine containing"
"adenylosuccinate",-1.00783194585172,0.145463833483964,0.316177992780238,-0.34187982811527,0.0661143664955951,0.0879489032366345,0.665952117736446,"Nucleotide","Purine metabolism, adenine containing"
"adipate",-2.81063116466085,0.746317879932455,0.948960483092923,-1.82946486355912,6.64899540281947e-12,2.55321423468268e-11,0.98116630110173,"Lipid","Fatty acid, dicarboxylate"
"adrenate (22:4n6)",-0.217629733485563,0.798445998445998,0.97852105341467,0.148987693036443,0.338474199832935,0.393860887078324,0.366617426522005,"Lipid","Long chain fatty acid"
"agmatine",-0.389051131735768,0.505361305361305,0.736931928830663,0.808810997334296,0.0821531390042505,0.106817625432163,1.19786212907006,"Amino acid","Polyamine metabolism"
"alanine",-1.38304174209246,0.00295260295260295,0.0246478159521638,-0.37930241968318,0.000162567152891918,0.000300123974569694,1.00373932240928,"Amino acid","Alanine and aspartate metabolism"
"alanylalanine",-0.539459190254711,0.171851702219669,0.351016242831665,0.186376977150219,0.187055599963671,0.228755892949203,0.725836167404931,"Peptide","Dipeptide"
"alanylglutamate",-0.0138933227322475,0.957001781035195,1,1.11155165945529,0.000349943117719028,0.000618304404313375,1.12544498218754,"Peptide","Dipeptide"
"alanylglycine",-0.346973772878264,0.494518992227571,0.736028267501501,0.224041145390045,0.697211399509901,0.741615163033358,0.571014918268309,"Peptide","Dipeptide"
"alanylisoleucine",-1.64351055280562,0.023845234869951,0.0869294638296949,0.613423053742081,0.78869721975002,0.827485607606579,2.2569336065477,"Peptide","Dipeptide"
"alanylleucine",0.280675565235299,0.645376845376845,0.86050246050246,2.31323504735786,3.05124337100226e-11,1.1053560891178e-10,2.03255948212256,"Peptide","Dipeptide"
"alanylmethionine",-0.595260689653799,0.562371966971069,0.80378722822664,1.34198602923085,0.000300384935080235,0.000532374531096047,1.93724671888465,"Peptide","Dipeptide"
"alanylphenylalanine",-0.308209680180973,0.957810850422856,1,2.15447791410188,2.20674681919814e-09,6.90807699922897e-09,2.46268759428286,"Peptide","Dipeptide"
"alanylthreonine",-0.910211928863668,0.717327300041757,0.922753690753691,1.00099770858338,0.644327854041411,0.693706250332435,1.91120963744704,"Peptide","Dipeptide"
"alanyltryptophan",-0.48576489435381,0.957492737513927,1,1.10972249502462,0.000494312156813259,0.000852466474025261,1.59548738937843,"Peptide","Dipeptide"
"alanyltyrosine",-0.285871064118704,0.752537727499457,0.95266314514217,1.35031405734384,1.86237817600307e-08,5.13267860946302e-08,1.63618512146255,"Peptide","Dipeptide"
"alanylvaline",-1.30987113000289,0.065882764188726,0.179002227229746,0.492090691628987,0.533390318414295,0.594260780283625,1.80196182163188,"Peptide","Dipeptide"
"allo-threonine",-0.126788315653375,0.90394632428869,1,-0.753356274199419,0.0289401324939804,0.0400709526839729,-0.626567958546044,"Amino acid","Glycine, serine and threonine metabolism"
"alpha-glutamylglutamate",-1.23222854844426,0.0513398264234592,0.153221450880376,0.651896722760726,0.0738704525654864,0.0969234184002738,1.88412527120499,"Peptide","Dipeptide"
"alpha-glutamyltryptophan",-2.45290402498315,0.0214681709862187,0.0808213495951763,1.1737480396549,0.152641051064805,0.190305726002874,3.62665206463805,"Peptide","Dipeptide"
"alpha-glutamyltyrosine",-1.30281787949101,0.0946411198588863,0.233962596732698,1.00474520222491,0.00135356711209902,0.00223396749733249,2.30756308171592,"Peptide","Dipeptide"
"alpha-hydroxyisovalerate",-0.173062650178533,0.959129759129759,1,0.0936041699581806,0.194385741988687,0.236215585201442,0.266666820136713,"Amino acid","Valine, leucine and isoleucine metabolism"
