"Metabolite","Log2FC_ TvN_Young","p.val_ TvN_Young","p.adj_ TvN_Young","Log2FC_ TvN_Old","p.val_ TvN_Old","p.adj_ TvN_Old","Log2FC_Young-Old","SUPER PATHWAY","SUB PATHWAY"
"1-arachidonoylglycerophosphocholine*",-0.224215575177095,0.878477078477078,1,-0.652358610838258,0.00134639865701305,0.00222852191505608,-0.428143035661163,"Lipid","Lysolipid"
"1-arachidonoylglycerophosphoethanolamine*",-1.18857702506561,0.00466200466200466,0.0288743514549966,-1.29017319597109,9.40558214748958e-21,1.00326209573222e-19,-0.101596170905479,"Lipid","Lysolipid"
"1-arachidonoylglycerophosphoinositol*",-1.00092568183943,0.0147630147630148,0.0616195398804094,-0.921606186830532,4.31385479004883e-16,2.55673606811341e-15,0.0793194950088948,"Lipid","Lysolipid"
"1-arachidonylglycerol",-0.173574251419849,0.945001830339073,1,-0.430332384603358,0.0890285625147343,0.114465294661801,-0.256758133183508,"Lipid","Monoacylglycerol"
"1-docosahexaenoylglycerophosphocholine*",-1.16201107339795,0.111909737067011,0.260971694536836,-1.16941490116619,4.91940559531444e-09,1.49135664363217e-08,-0.00740382776824244,"Lipid","Lysolipid"
"1-heptadecanoylglycerophosphocholine",-2.21558880071674,0.02353587876571,0.0869294638296949,-2.22504235147025,8.56048811593001e-15,4.25072513342731e-14,-0.00945355075351095,"Lipid","Lysolipid"
"1-heptadecanoylglycerophosphoethanolamine*",-4.07265153760192,0.000826441459106072,0.0174048174048174,-4.53941083594865,3.10847523656e-26,1.17023899300802e-24,-0.466759298346739,"Lipid","Lysolipid"
"1-linoleoylglycerol (1-monolinolein)",0.41626346148391,0.798445998445998,0.97852105341467,0.734062248618415,0.00717472188868887,0.0108069585223248,0.317798787134505,"Lipid","Monoacylglycerol"
"1-linoleoylglycerophosphocholine",-1.07063064636099,0.234498834498834,0.438543274906911,-0.691363076635354,0.00178984635666674,0.00288781933176482,0.379267569725638,"Lipid","Lysolipid"
"1-linoleoylglycerophosphoethanolamine*",-3.38685656204676,0.000310800310800311,0.0137708445400753,-2.93891315725791,1.28146098642919e-23,2.38103718768779e-22,0.447943404788842,"Lipid","Lysolipid"
"1-methylimidazoleacetate",-0.603361231358103,0.103307970131365,0.248640248640249,-0.785570125412038,2.57338067410095e-10,8.66822963907688e-10,-0.182208894053935,"Amino acid","Histidine metabolism"
"1-myristoylglycerophosphocholine",-1.7517150204723,0.0281274281274281,0.0987890158621866,-1.51526797667937,1.94740905945997e-11,7.14463451113975e-11,0.236447043792923,"Lipid","Lysolipid"
"1-myristoylglycerophosphoethanolamine",-3.44768778712144,0.0127769927806436,0.0573377295057244,-2.7553476106273,2.94488878620274e-18,2.38909287444053e-17,0.692340176494143,"Lipid","Lysolipid"
"1-oleoylglycerol (1-monoolein)",0.00697301858021826,1,1,0.696922178871501,0.00705937641837502,0.0106831231912956,0.689949160291283,"Lipid","Monoacylglycerol"
"1-oleoylglycerophosphocholine",-2.05784825316251,0.0649572649572649,0.179002227229746,-2.01960441576384,3.32529420321121e-14,1.55721094394281e-13,0.0382438373986624,"Lipid","Lysolipid"
"1-oleoylglycerophosphoethanolamine",-4.12500145855684,0.000310800310800311,0.0137708445400753,-4.32230919973156,8.70475152790955e-28,1.00278737601518e-25,-0.197307741174725,"Lipid","Lysolipid"
"1-oleoylglycerophosphoinositol*",-1.89724460924661,0.000310800310800311,0.0137708445400753,-1.43463002156695,8.96151457633032e-22,1.23020223805792e-20,0.462614587679664,"Lipid","Lysolipid"
"1-oleoylglycerophosphoserine",-1.80710062678342,0.00295260295260295,0.0246478159521638,-1.08354615852493,5.50399081855463e-16,3.17029871148747e-15,0.723554468258487,"Lipid","Lysolipid"
"1-palmitoleoylglycerophosphocholine*",-1.80250824602698,0.0379176379176379,0.124231000389744,-1.33554976110132,5.61567584719591e-09,1.673416937616e-08,0.466958484925663,"Lipid","Lysolipid"
"1-palmitoleoylglycerophosphoethanolamine*",-4.36308795152206,0.00146006191624224,0.020512089359891,-3.61811503417923,4.66185141932323e-21,5.26514983829447e-20,0.744972917342839,"Lipid","Lysolipid"
"1-palmitoylglycerol (1-monopalmitin)",-0.720270673488479,0.160528360528361,0.336233947870311,-0.458186164420761,0.00389741779090425,0.00615044560975575,0.262084509067718,"Lipid","Monoacylglycerol"
"1-palmitoylglycerophosphocholine",-1.1699600545601,0.104895104895105,0.248640248640249,-1.76376404475014,2.46987076491708e-14,1.17574013272086e-13,-0.593803990190046,"Lipid","Lysolipid"
"1-palmitoylglycerophosphoethanolamine",-4.73992945641256,0.000310800310800311,0.0137708445400753,-5.17007615513017,2.59081408216298e-28,5.86183811630841e-26,-0.430146698717615,"Lipid","Lysolipid"
"1-palmitoylglycerophosphoinositol*",-2.4364831353433,0.000310800310800311,0.0137708445400753,-2.25878986447568,2.16784147935557e-26,9.60520532391391e-25,0.177693270867615,"Lipid","Lysolipid"
"1-palmitoylplasmenylethanolamine*",-3.72224917009172,0.000621600621600622,0.0137708445400753,-3.04878585570113,1.10284369520876e-24,2.88744531109203e-23,0.673463314390583,"Lipid","Lysolipid"
"1-pentadecanoylglycerophosphocholine*",-2.62422701111002,0.00377218758287108,0.0285892111543914,-1.86915937755262,8.45429176465535e-12,3.20373161607992e-11,0.755067633557392,"Lipid","Lysolipid"
"1-stearoylglycerol (1-monostearin)",-0.852454285622807,0.0498834498834499,0.152025752025752,-0.755928926736327,2.33760388869123e-09,7.27816129668188e-09,0.0965253588864801,"Lipid","Monoacylglycerol"
"1-stearoylglycerophosphocholine",-1.30007627171366,0.160528360528361,0.336233947870311,-1.78514590103438,7.33579843722272e-09,2.13405045446479e-08,-0.485069629320722,"Lipid","Lysolipid"
"1-stearoylglycerophosphoethanolamine",-3.78566931298614,0.00295260295260295,0.0246478159521638,-3.58385941881949,1.1299032459906e-22,1.71269544655417e-21,0.201809894166646,"Lipid","Lysolipid"
"1-stearoylglycerophosphoinositol",-1.9410090146251,0.000621600621600622,0.0137708445400753,-1.78842589016209,4.08355988330316e-24,9.11429601291279e-23,0.152583124463007,"Lipid","Lysolipid"
"1,2-propanediol",-0.392222465051009,0.720901320901321,0.922753690753691,-0.159800685367946,0.0869388429577041,0.112028576160263,0.232421779683063,"Lipid","Ketone bodies"
"1,3-dihydroxyacetone",0.459874091412246,0.269699624390875,0.49473561671702,0.355742040053427,0.135350677561027,0.169482587554678,-0.104132051358819,"Carbohydrate","Glycolysis, gluconeogenesis, pyruvate metabolism"
"1,5-anhydroglucitol (1,5-AG)",0.182564746261375,0.878477078477078,1,-0.10331783303381,0.541194976147206,0.601792097028553,-0.285882579295186,"Carbohydrate","Glycolysis, gluconeogenesis, pyruvate metabolism"
"10-heptadecenoate (17:1n7)",0.380549433712607,0.194871794871795,0.375405196809879,0.755697847063883,2.0077902770768e-13,8.89605538150952e-13,0.375148413351276,"Lipid","Long chain fatty acid"
"10-nonadecenoate (19:1n9)",0.789824013955842,0.0649572649572649,0.179002227229746,1.15153288571343,8.88766889631144e-17,5.38873398344778e-16,0.361708871757591,"Lipid","Long chain fatty acid"
"13-HODE + 9-HODE",-0.36890457867489,0.645376845376845,0.86050246050246,0.0884451880429066,0.951633017011125,0.971880528011362,0.457349766717797,"Lipid","Fatty acid, monohydroxy"
"15-methylpalmitate (isobar with 2-methylpalmitate)",0.402557500260775,0.0498834498834499,0.152025752025752,0.453176434686119,2.39629989327967e-11,8.73587809195628e-11,0.0506189344253442,"Lipid","Fatty acid, branched"
"16-hydroxypalmitate",0.200366323029704,0.720901320901321,0.922753690753691,-0.350870571763831,0.00177153127070237,0.00286629778630495,-0.551236894793536,"Lipid","Fatty acid, monohydroxy"
"2'-deoxyadenosine 3'-monophosphate",-1.0589113680757,0.0704615426471519,0.1887713886733,0.465393564731161,0.0176166126775396,0.02487051201535,1.52430493280686,"Nucleotide","Purine metabolism, adenine containing"
"2'-deoxycytidine 3'-monophosphate",0,NA,NA,0.376776561699526,0.258955482639439,0.308816476191132,0.376776561699526,"Nucleotide","Pyrimidine metabolism, cytidine containing"
"2'-deoxyguanosine",-0.236418754738405,0.493562789703389,0.736028267501501,0.0945292979502157,0.428138449665925,0.490273850909687,0.33094805268862,"Nucleotide","Purine metabolism, guanine containing"
"2'-deoxyinosine",-0.557721203876141,0.110465130411439,0.259705775987709,0.180167650361016,0.185497933988376,0.227333638249584,0.737888854237156,"Nucleotide","Purine metabolism, (hypo)xanthine/inosine containing"
"2-aminoadipate",1.53335726073235,0.328205128205128,0.556018099547511,2.26928502337952,1.49847309985264e-08,4.14961781497655e-08,0.735927762647165,"Amino acid","Lysine metabolism"
"2-aminobutyrate",0.199605538764883,0.959129759129759,1,0.43172910898509,0.000218101167553125,0.000396297389623344,0.232123570220207,"Amino acid","Butanoate metabolism"
"2-arachidonoylglycerophosphocholine*",0.179966297351962,0.959129759129759,1,0.00723231967645601,0.607700536920903,0.660444357106491,-0.172733977675506,"Lipid","Lysolipid"
"2-arachidonoylglycerophosphoethanolamine*",-0.436795229607037,0.0379176379176379,0.124231000389744,-0.205418144334593,0.00718587693411527,0.0108069585223248,0.231377085272444,"Lipid","Lysolipid"
"2-docosahexaenoylglycerophosphocholine*",-0.692245660262955,0.430557887644654,0.661336915422188,-0.417049180818375,0.00436500181815336,0.00683217675884873,0.27519647944458,"Lipid","Lysolipid"
"2-docosahexaenoylglycerophosphoethanolamine*",0.499913000596225,0.491634177169701,0.736028267501501,-0.213119707057626,0.254775590417354,0.30446211634937,-0.713032707653851,"Lipid","Lysolipid"
"2-docosapentaenoylglycerophosphocholine*",-0.308371424732561,1,1,-0.209332730037344,0.455985182777928,0.516006808015887,0.0990386946952167,"Lipid","Lysolipid"
"2-docosapentaenoylglycerophosphoethanolamine*",0.920301711934497,0.297640585409217,0.525892568084997,0.37532758707325,0.125763304774303,0.158165204257639,-0.544974124861248,"Lipid","Lysolipid"
"2-eicosatrienoylglycerophosphocholine*",-0.314208671396471,0.524449721806084,0.76091445783452,-0.139629094616806,0.341886513441989,0.39702949948102,0.174579576779665,"Lipid","Lysolipid"
"2-ethylhexanoate",0.767832366488255,0.278632478632479,0.49842331581462,-0.150823313579277,5.77611444606881e-06,1.24608311645529e-05,-0.918655680067532,"Xenobiotics","Chemical"
"2-hydroxyacetaminophen sulfate*",0,NA,NA,-0.00223403346070584,0.024021912119084,0.0335027152072455,-0.00223403346070584,"Xenobiotics","Drug"
"2-hydroxybutyrate (AHB)",0.479837694785125,0.160528360528361,0.336233947870311,0.0138520651463116,0.832452583469441,0.867075385313558,-0.465985629638813,"Amino acid","Cysteine, methionine, SAM, taurine metabolism"
"2-hydroxyglutarate",0.00338622510893233,0.798445998445998,0.97852105341467,2.57441866954459,4.45915434563239e-17,2.88592461020703e-16,2.57103244443566,"Lipid","Fatty acid, dicarboxylate"
"2-hydroxyhippurate (salicylurate)",0.15188096343099,0.381573905705021,0.603276175878915,-0.642938997231722,0.00276071307147092,0.00439273682090401,-0.794819960662711,"Xenobiotics","Benzoate metabolism"
"2-hydroxyisobutyrate",-1.42905604483942,0.00134828729093636,0.01991316614306,-1.23300276949468,5.82936785836241e-18,4.53745390056317e-17,0.196053275344738,"Xenobiotics","Chemical"
"2-hydroxypalmitate",0.175869750612893,0.493562789703389,0.736028267501501,0.880459595731629,1.74338454426389e-06,4.01675798998401e-06,0.704589845118735,"Lipid","Fatty acid, monohydroxy"
"2-isopropylmalate",-0.689960229474352,0.183232976928822,0.36774283871429,-0.581075970535538,5.63531574206098e-06,1.22027889752899e-05,0.108884258938814,"Carbohydrate","Glycolysis, gluconeogenesis, pyruvate metabolism"
"2-linoleoylglycerol (2-monolinolein)",1.37695012504724,0.406552852098087,0.633095046141813,1.07998253546278,0.000732851020023621,0.00124519819331447,-0.296967589584459,"Lipid","Monoacylglycerol"
"2-linoleoylglycerophosphocholine*",0.149311409302316,0.328205128205128,0.556018099547511,0.00468267496486621,0.399905699006631,0.460691365255638,-0.14462873433745,"Lipid","Lysolipid"
"2-linoleoylglycerophosphoethanolamine*",-1.97074375910019,0.00384992387045094,0.0287994305114252,-1.42391243577169,1.35760054971705e-15,7.51901842920213e-15,0.546831323328496,"Lipid","Lysolipid"
"2-methoxyacetaminophen sulfate*",0,NA,NA,0,NA,NA,0,"Xenobiotics","Drug"
"2-methylbutyroylcarnitine",-2.2211430035214,0.000310800310800311,0.0137708445400753,-1.54583760415007,2.1670354689504e-20,2.26947714566442e-19,0.675305399371326,"Amino acid","Valine, leucine and isoleucine metabolism"
"2-myristoylglycerophosphocholine*",0.22171083169747,0.787320928215545,0.97852105341467,0.657028031778853,0.00703398546652438,0.0106831231912956,0.435317200081383,"Lipid","Lysolipid"
"2-oleoylglycerol (2-monoolein)",0.251852438559218,1,1,1.31349901431285,0.000225944204038609,0.00040925742618314,1.06164657575363,"Lipid","Monoacylglycerol"
"2-oleoylglycerophosphocholine*",-0.26319759059264,0.328205128205128,0.556018099547511,-0.57615054115965,0.00553867508727948,0.00862236986560265,-0.312952950567011,"Lipid","Lysolipid"
"2-oleoylglycerophosphoethanolamine*",-3.7292347878853,0.000621600621600622,0.0137708445400753,-3.52185932896582,3.28788649719893e-27,2.7054608891237e-25,0.207375458919488,"Lipid","Lysolipid"
"2-oleoylglycerophosphoserine*",-0.548840605088802,0.423998989616425,0.656514564567367,-0.298114152770794,0.000216667291118115,0.000394937847101374,0.250726452318008,"Lipid","Lysolipid"
"2-palmitoleoylglycerophosphocholine*",1.14155802593211,0.562371966971069,0.80378722822664,1.3111767277099,5.63616121349832e-09,1.673416937616e-08,0.169618701777795,"Lipid","Lysolipid"
"2-palmitoylglycerol (2-monopalmitin)",-0.460226776868767,0.364881314041918,0.603276175878915,-0.167641940635383,0.426000103639475,0.488796931666012,0.292584836233383,"Lipid","Monoacylglycerol"
"2-palmitoylglycerophosphocholine*",-0.89237684540372,0.194871794871795,0.375405196809879,-0.876595138422024,0.00611846416066245,0.00944835216230985,0.0157817069816965,"Lipid","Lysolipid"
"2-palmitoylglycerophosphoethanolamine*",-5.09315758036215,0.00085989691015073,0.0174048174048174,-5.16098045699151,2.47758946451348e-26,1.01935109397126e-24,-0.0678228766293634,"Lipid","Lysolipid"
"2-phosphoglycerate",-1.19170448460304,0.293266338421946,0.519758187480125,-0.539138263298695,0.230935751951659,0.278282412393631,0.652566221304349,"Carbohydrate","Glycolysis, gluconeogenesis, pyruvate metabolism"
"2-stearoylglycerophosphocholine*",-1.71237358198276,0.13038073038073,0.285548671860459,-2.1153090570615,1.15438089387991e-07,2.94213891537533e-07,-0.40293547507874,"Lipid","Lysolipid"
"2-stearoylglycerophosphoethanolamine*",-5.38228905229229,0.0127769927806436,0.0573377295057244,-5.15303222935684,4.35000233810961e-16,2.55673606811341e-15,0.229256822935453,"Lipid","Lysolipid"
"3'-dephosphocoenzyme A",-0.670717331018745,0.116692200339178,0.269938583917135,-0.633508544651103,0.000400163368470869,0.000700589970331978,0.0372087863676426,"Cofactors and vitamins","Pantothenate and CoA metabolism"
